"wind","wig","wet_dry","heatloss","skin_temp","resistance","clo","amb_temp","amb_rh","radiation","trial"
2.5,"High_curve","dry","153.44166666666669","33.999000000000002","0.16243623021127776","1.0479756787824372","9.0776666666666657","42.240000000000023","on",2
2.5,"High_curve","dry","153.00327868852466","34.003606557377047","0.16472829037887676","1.0627631637346888","8.803934426229505","42.255737704918019","on",3
0.3,"nude","wet","152.83333333333337","34.011754385964906","-1.8213073983836016E-3","-1.1750370312152269E-2","34.289649122806978","47.682456140350872","off",1
0.3,"nude","wet","151.43658536585366","34.003414634146345","-2.2788923152782313E-3","-1.470253106631117E-2","34.348780487804866","47.529268292682922","off",2
1,"nude","wet","254.46666666666664","34.021904761904757","5.969212984188963E-4","3.8511051510896534E-3","33.872857142857143","47.280952380952371","off",1
1,"nude","wet",NA,NA,NA,NA,NA,NA,"off",2
2.5,"nude","wet","288.16190476190479","34.027619047619041","2.8462466534905515E-5","1.8362881635422914E-4","34.019047619047612","47.1","off",1
2.5,"nude","wet","289.37741935483865","34.042258064516112","-1.2511916815198694E-6","-8.072204396902383E-6","34.043870967741917","46.958064516129021","off",2
0.3,"Low_curve","wet","71.100000000000009","34.00060606060606","8.6807975951890503E-4","5.6005145775413229E-3","33.938787878787906","47.390909090909091","off",1
0.3,"Low_curve","wet","63.821951219512165","33.997560975609758","2.8668276842981444E-3","1.8495662479342867E-2","33.814390243902437","46.458536585365849","off",2
1,"Low_curve","wet","103.05483870967741","34.001290322580644","2.9882192517989969E-3","1.9278833882574172E-2","33.692258064516125","47.170967741935485","off",1
1,"Low_curve","wet","102.83414634146341","34.001951219512193","2.6281360341145481E-3","1.6955716349126116E-2","33.73170731707318","47.556097560975616","off",2
2.5,"Low_curve","wet","149.42999999999998","34.0062","1.8911542882679166E-4","1.2200995408180107E-3","33.978600000000014","47.645999999999987","off",1
2.5,"Low_curve","wet","163.52195121951218","34.009024390243901","1.5574146365903013E-3","1.0047836365098718E-2","33.754634146341459","48.102439024390236","off",2
0.3,"Mid_curve","wet","60.382926829268285","34.001463414634145","9.8095045684230722E-4","6.3287126247890792E-3","33.942682926829299","47.246341463414616","off",1
0.3,"Mid_curve","wet","54.596969696969708","33.99969696969697","5.1733553459528282E-3","3.3376486102921474E-2","33.717575757575773","46.875757575757582","off",2
1,"Mid_curve","wet","90.372549019607874","33.998823529411766","2.3287060392702575E-3","1.5023909930775854E-2","33.788431372548999","47.40980392156861","off",1
1,"Mid_curve","wet","89.7542857142857","33.998285714285714","2.9036231370707663E-3","1.873305249723075E-2","33.73771428571429","47.517142857142851","off",2
2.5,"Mid_curve","wet","138.12432432432431","34.001351351351353","3.5426667668363236E-4","2.2855914624750474E-3","33.952702702702723","47.683783783783788","off",1
2.5,"Mid_curve","wet","141.65199999999999","34.006","1.5913255760697529E-3","1.0266616619804858E-2","33.780999999999977","48.05","off",2
0.3,"High_curve","wet","60.382926829268285","34.004390243902435","2.5739169781119151E-3","1.6605915987818808E-2","33.849024390243883","47.570731707317073","off",1
0.3,"High_curve","wet","56.226829268292676","34.002682926829266","3.3454482557912476E-3","2.158353713413708E-2","33.814634146341461","48.078048780487819","off",2
1,"High_curve","wet","79.751428571428605","34.00114285714286","3.3868292146111909E-3","2.1850511062007683E-2","33.731142857142864","47.485714285714273","off",1
1,"High_curve","wet","75.451515151515167","34.00030303030303","3.6118492249735011E-3","2.330225306434517E-2","33.727878787878794","47.421212121212108","off",2
2.5,"High_curve","wet","113.72499999999998","34.005249999999997","1.8065605925385974E-3","1.1655229629281274E-2","33.800249999999984","48.165000000000006","off",1
2.5,"High_curve","wet","128.54146341463411","34.000975609756097","5.1982558121964144E-4","3.353713427223493E-3","33.934146341463446","47.687804878048759","off",2
0.3,"nude","dry","325.2121951219512","37.990975609756099","0.11283803842234504","0.72798734466029058","1.2948780487804885","48.499999999999993","off",1
0.3,"nude","dry","328.99268292682933","37.991463414634147","0.11184341235915445","0.72157040231712544","1.1970731707317073","43.960975609756098","off",2
0.3,"nude","dry","328.73658536585367","37.997560975609758","0.11210735065911813","0.7232732300588266","1.1456097560975611","49.019512195121933","off",3
1,"nude","dry","250.51971830985917","33.999154929577458","9.9100110401928523E-2","0.63935555098018404","9.1736619718309917","43.709859154929568","off",1
1,"nude","dry","246.36799999999991","34.000612244897965","0.10122433785643196","0.65306024423504494","9.0647999999999964","43.964000000000013","off",2
1,"nude","dry","247.3512195121952","34.005121951219515","0.10066329513419484","0.64944061376899898","9.1080487804878043","44.248780487804879","off",3
2.5,"nude","dry","435.56585365853658","33.999024390243903","5.8050849568150598E-2","0.37452161011710061","8.7141463414634153","42.782926829268312","off",1
2.5,"nude","dry","449.52439024390242","34.001951219512193","5.6204454677753195E-2","0.36260938501776258","8.7380487804878069","43.875609756097575","off",2
2.5,"nude","dry","431.64901960784312","34.002549019607841","5.8378286539781866E-2","0.37663410670827013","8.8039215686274499","43.696078431372548","off",3
